id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2586,R,-0.08868750184774399,0.15716250240802765,0.03849999979138374,0.04486241564154625,0.6309035420417786,0.757139265537262,8
2587,F,-0.1270499974489212,0.2050125002861023,0.00976249948143959,0.024779105558991432,0.6417022943496704,0.7692688703536987,8
2588,K,0.07741250097751617,0.07507500052452087,0.010724999941885471,-0.07055926322937012,0.6236533522605896,0.7441838383674622,8
2589,F,-0.03973750025033951,0.1933249980211258,0.0012374999932944775,0.030392643064260483,0.6163113713264465,0.7876237034797668,8
2590,H,-0.04399999976158142,-0.21463750302791595,0.006462499964982271,-0.08687982708215714,0.6460922360420227,0.7499961853027344,8
2591,I,0.1083500012755394,0.19648750126361847,0.006462499964982271,-0.07831420749425888,0.6348804235458374,0.7612232565879822,8
2592,H,-0.08236250281333923,-0.1326874941587448,-0.005224999971687794,-0.07597395777702332,0.6387502551078796,0.7403140068054199,8
2593,M,0.07644999772310257,0.2050125002861023,0.006462499964982271,-0.029780812561511993,0.6294657588005066,0.7541872262954712,8
2594,H,-0.2134000062942505,-0.345674991607666,-0.1405249983072281,-0.14113381505012512,0.5247511267662048,0.986162543296814,8
2595,W,0.14135000109672546,-0.25519999861717224,0.0448249988257885,-0.00978927593678236,0.4751928746700287,0.9138748049736023,8
2596,W,0.055137500166893005,-0.02928750030696392,-0.005224999971687794,-0.01509689912199974,0.44958779215812683,0.9119322896003723,8
2597,E,0.013612499460577965,0.06861250102519989,0.008662499487400055,0.021108126267790794,0.4974175989627838,0.9135688543319702,8
2598,V,0.1648624986410141,0.2550624907016754,0.04908749833703041,0.0053076231852173805,0.4702982008457184,0.864515483379364,8
2599,A,0.07108750194311142,-0.10395000129938126,0.012924999929964542,-0.011211779899895191,0.49027445912361145,0.8799182176589966,8
2600,Z,-0.029012499377131462,0.06764999777078629,0.021449999883770943,-0.029979655519127846,0.47294437885284424,0.9209108352661133,8
2601,F,0.038087498396635056,0.030387500301003456,-0.06159999966621399,-0.03273288905620575,0.4641799330711365,0.8418777585029602,8
2602,A,0.045512501150369644,-0.060224998742341995,0.040562499314546585,0.010905865579843521,0.4969128370285034,0.8660449981689453,8
